Country or Area,Commodity - Transaction,Year,Quantity
Eswatini,"Total hydro production - Kilowatt-hours, million",2022,294.52
Eswatini,"Total hydro production - Kilowatt-hours, million",2021,270.268
Eswatini,"Total hydro production - Kilowatt-hours, million",2020,233
Eswatini,"Total hydro production - Kilowatt-hours, million",2019,269.602
Ethiopia,"Total hydro production - Kilowatt-hours, million",2022,16770.811
Ethiopia,"Total hydro production - Kilowatt-hours, million",2021,14882.49
Ethiopia,"Total hydro production - Kilowatt-hours, million",2020,14942.83
Ethiopia,"Total hydro production - Kilowatt-hours, million",2019,14403.7
Faeroe Islands,"Total hydro production - Kilowatt-hours, million",2023,100.2
Faeroe Islands,"Total hydro production - Kilowatt-hours, million",2022,130.864
Faeroe Islands,"Total hydro production - Kilowatt-hours, million",2021,100.3
Faeroe Islands,"Total hydro production - Kilowatt-hours, million",2020,108.7
Faeroe Islands,"Total hydro production - Kilowatt-hours, million",2019,103.5
Fiji,"Total hydro production - Kilowatt-hours, million",2023,600
Fiji,"Total hydro production - Kilowatt-hours, million",2022,598.096
Fiji,"Total hydro production - Kilowatt-hours, million",2021,547.862
Fiji,"Total hydro production - Kilowatt-hours, million",2020,558.173
Fiji,"Total hydro production - Kilowatt-hours, million",2019,559.392
Finland,"Total hydro production - Kilowatt-hours, million",2022,13491
Finland,"Total hydro production - Kilowatt-hours, million",2021,15792
Finland,"Total hydro production - Kilowatt-hours, million",2020,15883
Finland,"Total hydro production - Kilowatt-hours, million",2019,12421
France,"Total hydro production - Kilowatt-hours, million",2022,51049.096
France,"Total hydro production - Kilowatt-hours, million",2021,63946.742
France,"Total hydro production - Kilowatt-hours, million",2020,67094.32
France,"Total hydro production - Kilowatt-hours, million",2019,61572.316
French Polynesia,"Total hydro production - Kilowatt-hours, million",2023,198.5
French Polynesia,"Total hydro production - Kilowatt-hours, million",2022,194.4
French Polynesia,"Total hydro production - Kilowatt-hours, million",2021,142.283
French Polynesia,"Total hydro production - Kilowatt-hours, million",2020,159.3
French Polynesia,"Total hydro production - Kilowatt-hours, million",2019,159.362
Gabon,"Total hydro production - Kilowatt-hours, million",2022,1260.21
Gabon,"Total hydro production - Kilowatt-hours, million",2021,1368.368
Gabon,"Total hydro production - Kilowatt-hours, million",2020,1420.468
Gabon,"Total hydro production - Kilowatt-hours, million",2019,1309.638
Georgia,"Total hydro production - Kilowatt-hours, million",2022,10771.4
Georgia,"Total hydro production - Kilowatt-hours, million",2021,10182.1
Georgia,"Total hydro production - Kilowatt-hours, million",2020,8248.2
Georgia,"Total hydro production - Kilowatt-hours, million",2019,8931.7
Germany,"Total hydro production - Kilowatt-hours, million",2022,23576
Germany,"Total hydro production - Kilowatt-hours, million",2021,24972
Germany,"Total hydro production - Kilowatt-hours, million",2020,25275
Germany,"Total hydro production - Kilowatt-hours, million",2019,25671
Ghana,"Total hydro production - Kilowatt-hours, million",2023,9186.5
Ghana,"Total hydro production - Kilowatt-hours, million",2022,8191.9
Ghana,"Total hydro production - Kilowatt-hours, million",2021,7520.816
Ghana,"Total hydro production - Kilowatt-hours, million",2020,7293.2
Ghana,"Total hydro production - Kilowatt-hours, million",2019,7251.6
Greece,"Total hydro production - Kilowatt-hours, million",2022,3999.8
Greece,"Total hydro production - Kilowatt-hours, million",2021,5961.439
