Country/area,Technology,Year,Public Investments (2022 Million USD)
Anguilla,Renewable hydropower,2023,
Anguilla,Pumped storage,2019,
Anguilla,Pumped storage,2020,
Anguilla,Pumped storage,2021,
Anguilla,Pumped storage,2022,
Anguilla,Pumped storage,2023,
Anguilla,Marine energy,2019,
Anguilla,Marine energy,2020,
Anguilla,Marine energy,2021,
Anguilla,Marine energy,2022,
Anguilla,Marine energy,2023,
Anguilla,Nuclear,2019,
Anguilla,Nuclear,2020,
Anguilla,Nuclear,2021,
Anguilla,Nuclear,2022,
Anguilla,Nuclear,2023,
Antigua and Barbuda,Ongrid solar photovoltaic,2019,
Antigua and Barbuda,Ongrid solar photovoltaic,2020,6.72
Antigua and Barbuda,Ongrid solar photovoltaic,2021,
Antigua and Barbuda,Ongrid solar photovoltaic,2022,
Antigua and Barbuda,Ongrid solar photovoltaic,2023,
Antigua and Barbuda,Offgrid solar photovoltaic,2019,
Antigua and Barbuda,Offgrid solar photovoltaic,2020,
Antigua and Barbuda,Offgrid solar photovoltaic,2021,
Antigua and Barbuda,Offgrid solar photovoltaic,2022,
Antigua and Barbuda,Offgrid solar photovoltaic,2023,
Antigua and Barbuda,Solar thermal energy,2019,
Antigua and Barbuda,Solar thermal energy,2020,
Antigua and Barbuda,Solar thermal energy,2021,
Antigua and Barbuda,Solar thermal energy,2022,
Antigua and Barbuda,Solar thermal energy,2023,
Antigua and Barbuda,Concentrated solar power,2019,
Antigua and Barbuda,Concentrated solar power,2020,
Antigua and Barbuda,Concentrated solar power,2021,
Antigua and Barbuda,Concentrated solar power,2022,
Antigua and Barbuda,Concentrated solar power,2023,
Antigua and Barbuda,Onshore wind energy,2019,
Antigua and Barbuda,Onshore wind energy,2020,
Antigua and Barbuda,Onshore wind energy,2021,
Antigua and Barbuda,Onshore wind energy,2022,
Antigua and Barbuda,Onshore wind energy,2023,
Antigua and Barbuda,Offshore wind energy,2019,
Antigua and Barbuda,Offshore wind energy,2020,
Antigua and Barbuda,Offshore wind energy,2021,
Antigua and Barbuda,Offshore wind energy,2022,
Antigua and Barbuda,Offshore wind energy,2023,
Antigua and Barbuda,Renewable hydropower,2019,
Antigua and Barbuda,Renewable hydropower,2020,
Antigua and Barbuda,Renewable hydropower,2021,
Antigua and Barbuda,Renewable hydropower,2022,
Antigua and Barbuda,Renewable hydropower,2023,
Antigua and Barbuda,Pumped storage,2019,
Antigua and Barbuda,Pumped storage,2020,
Antigua and Barbuda,Pumped storage,2021,
Antigua and Barbuda,Pumped storage,2022,
Antigua and Barbuda,Pumped storage,2023,
Antigua and Barbuda,Marine energy,2019,
Antigua and Barbuda,Marine energy,2020,
Antigua and Barbuda,Marine energy,2021,
Antigua and Barbuda,Marine energy,2022,
Antigua and Barbuda,Marine energy,2023,
Antigua and Barbuda,Nuclear,2019,
Antigua and Barbuda,Nuclear,2020,
Antigua and Barbuda,Nuclear,2021,
Antigua and Barbuda,Nuclear,2022,
Antigua and Barbuda,Nuclear,2023,
Argentina,Ongrid solar photovoltaic,2019,96.38
Argentina,Ongrid solar photovoltaic,2020,
Argentina,Ongrid solar photovoltaic,2021,0.86
Argentina,Ongrid solar photovoltaic,2022,
Argentina,Ongrid solar photovoltaic,2023,12.23
Argentina,Offgrid solar photovoltaic,2019,1.42
Argentina,Offgrid solar photovoltaic,2020,0.01
Argentina,Offgrid solar photovoltaic,2021,
Argentina,Offgrid solar photovoltaic,2022,0.01
Argentina,Offgrid solar photovoltaic,2023,182.73
Argentina,Solar thermal energy,2019,
Argentina,Solar thermal energy,2020,
Argentina,Solar thermal energy,2021,
Argentina,Solar thermal energy,2022,
Argentina,Solar thermal energy,2023,26.51
Argentina,Concentrated solar power,2019,
Argentina,Concentrated solar power,2020,
Argentina,Concentrated solar power,2021,
Argentina,Concentrated solar power,2022,
Argentina,Concentrated solar power,2023,
Argentina,Onshore wind energy,2019,416.57
Argentina,Onshore wind energy,2020,2.7
Argentina,Onshore wind energy,2021,1.77
Argentina,Onshore wind energy,2022,10.37
Argentina,Onshore wind energy,2023,90.85
Argentina,Offshore wind energy,2019,
Argentina,Offshore wind energy,2020,
Argentina,Offshore wind energy,2021,
Argentina,Offshore wind energy,2022,
Argentina,Offshore wind energy,2023,
Argentina,Renewable hydropower,2019,
Argentina,Renewable hydropower,2020,
Argentina,Renewable hydropower,2021,
Argentina,Renewable hydropower,2022,
Argentina,Renewable hydropower,2023,
Argentina,Pumped storage,2019,
Argentina,Pumped storage,2020,
Argentina,Pumped storage,2021,
Argentina,Pumped storage,2022,
Argentina,Pumped storage,2023,
Argentina,Marine energy,2019,
Argentina,Marine energy,2020,
Argentina,Marine energy,2021,
Argentina,Marine energy,2022,
Argentina,Marine energy,2023,
Argentina,Nuclear,2019,0.06
Argentina,Nuclear,2020,
Argentina,Nuclear,2021,
Argentina,Nuclear,2022,
Argentina,Nuclear,2023,
Armenia,Ongrid solar photovoltaic,2019,0.03
Armenia,Ongrid solar photovoltaic,2020,10.01
Armenia,Ongrid solar photovoltaic,2021,0.1
Armenia,Ongrid solar photovoltaic,2022,0.99
Armenia,Ongrid solar photovoltaic,2023,0.99
Armenia,Offgrid solar photovoltaic,2019,
Armenia,Offgrid solar photovoltaic,2020,
Armenia,Offgrid solar photovoltaic,2021,0.01
Armenia,Offgrid solar photovoltaic,2022,0.02
Armenia,Offgrid solar photovoltaic,2023,
Armenia,Solar thermal energy,2019,0.01
Armenia,Solar thermal energy,2020,
Armenia,Solar thermal energy,2021,0.03
Armenia,Solar thermal energy,2022,
Armenia,Solar thermal energy,2023,
Armenia,Concentrated solar power,2019,
Armenia,Concentrated solar power,2020,
Armenia,Concentrated solar power,2021,
Armenia,Concentrated solar power,2022,
Armenia,Concentrated solar power,2023,
Armenia,Onshore wind energy,2019,
Armenia,Onshore wind energy,2020,
Armenia,Onshore wind energy,2021,
Armenia,Onshore wind energy,2022,
Armenia,Onshore wind energy,2023,
Armenia,Offshore wind energy,2019,
Armenia,Offshore wind energy,2020,
Armenia,Offshore wind energy,2021,
Armenia,Offshore wind energy,2022,
Armenia,Offshore wind energy,2023,
Armenia,Renewable hydropower,2019,
Armenia,Renewable hydropower,2020,
Armenia,Renewable hydropower,2021,
Armenia,Renewable hydropower,2022,
Armenia,Renewable hydropower,2023,
Armenia,Pumped storage,2019,
Armenia,Pumped storage,2020,
Armenia,Pumped storage,2021,
Armenia,Pumped storage,2022,
Armenia,Pumped storage,2023,
Armenia,Marine energy,2019,
Armenia,Marine energy,2020,
Armenia,Marine energy,2021,
Armenia,Marine energy,2022,
Armenia,Marine energy,2023,
Armenia,Nuclear,2019,1.5
Armenia,Nuclear,2020,1.84
Armenia,Nuclear,2021,0.12
Armenia,Nuclear,2022,2.21
Armenia,Nuclear,2023,0.26
Australia,Ongrid solar photovoltaic,2019,
Australia,Ongrid solar photovoltaic,2020,
Australia,Ongrid solar photovoltaic,2021,30.26
Australia,Ongrid solar photovoltaic,2022,
Australia,Ongrid solar photovoltaic,2023,1.36
Australia,Offgrid solar photovoltaic,2019,
Australia,Offgrid solar photovoltaic,2020,
Australia,Offgrid solar photovoltaic,2021,
Australia,Offgrid solar photovoltaic,2022,
Australia,Offgrid solar photovoltaic,2023,
Australia,Solar thermal energy,2019,
Australia,Solar thermal energy,2020,
Australia,Solar thermal energy,2021,
Australia,Solar thermal energy,2022,
Australia,Solar thermal energy,2023,
Australia,Concentrated solar power,2019,
Australia,Concentrated solar power,2020,
Australia,Concentrated solar power,2021,
Australia,Concentrated solar power,2022,
Australia,Concentrated solar power,2023,
Australia,Onshore wind energy,2019,
Australia,Onshore wind energy,2020,
Australia,Onshore wind energy,2021,
Australia,Onshore wind energy,2022,
Australia,Onshore wind energy,2023,
Australia,Offshore wind energy,2019,
Australia,Offshore wind energy,2020,
Australia,Offshore wind energy,2021,
Australia,Offshore wind energy,2022,
Australia,Offshore wind energy,2023,
Australia,Renewable hydropower,2019,
Australia,Renewable hydropower,2020,
Australia,Renewable hydropower,2021,
Australia,Renewable hydropower,2022,
Australia,Renewable hydropower,2023,
Australia,Pumped storage,2019,
Australia,Pumped storage,2020,
Australia,Pumped storage,2021,
Australia,Pumped storage,2022,
Australia,Pumped storage,2023,
Australia,Marine energy,2019,
Australia,Marine energy,2020,
Australia,Marine energy,2021,
Australia,Marine energy,2022,
Australia,Marine energy,2023,
Australia,Nuclear,2019,
Australia,Nuclear,2020,
Australia,Nuclear,2021,
Australia,Nuclear,2022,
Australia,Nuclear,2023,
Austria,Ongrid solar photovoltaic,2019,
Austria,Ongrid solar photovoltaic,2020,
Austria,Ongrid solar photovoltaic,2021,
Austria,Ongrid solar photovoltaic,2022,
Austria,Ongrid solar photovoltaic,2023,
Austria,Offgrid solar photovoltaic,2019,
Austria,Offgrid solar photovoltaic,2020,
Austria,Offgrid solar photovoltaic,2021,
Austria,Offgrid solar photovoltaic,2022,
Austria,Offgrid solar photovoltaic,2023,
Austria,Solar thermal energy,2019,
Austria,Solar thermal energy,2020,
Austria,Solar thermal energy,2021,
Austria,Solar thermal energy,2022,
Austria,Solar thermal energy,2023,
