Country/area,Technology,2019,2020,2021,2022,2023
Niger (the),Marine energy,,,,,
Niger (the),Nuclear,,,,,
Niger (the),Offgrid solar photovoltaic,,0.01,247.43,0.01,
Niger (the),Offshore wind energy,,,,,
Niger (the),Ongrid solar photovoltaic,44.49,25.97,1.19,2.88,1.41
Niger (the),Onshore wind energy,,,,,0.34
Niger (the),Pumped storage,,,,,
Niger (the),Renewable hydropower,67.59,107.92,,,
Niger (the),Solar thermal energy,,,,,
Nigeria,Concentrated solar power,,,,,
Nigeria,Marine energy,,,,,
Nigeria,Nuclear,0,,,,
Nigeria,Offgrid solar photovoltaic,9.73,5.65,13.06,11.29,785.16
Nigeria,Offshore wind energy,,,,,
Nigeria,Ongrid solar photovoltaic,126.14,24.16,17.54,52.5,1.32
Nigeria,Onshore wind energy,,,,,
Nigeria,Pumped storage,,,,,
Nigeria,Renewable hydropower,,222.33,,,
Nigeria,Solar thermal energy,,,,,
Niue,Concentrated solar power,,,,,
Niue,Marine energy,,,,,
Niue,Nuclear,,,,,
Niue,Offgrid solar photovoltaic,,,,0.03,
Niue,Offshore wind energy,,,,,
Niue,Ongrid solar photovoltaic,,,,,0.11
Niue,Onshore wind energy,,,,,
Niue,Pumped storage,,,,,
Niue,Renewable hydropower,,,,,
Niue,Solar thermal energy,,,,,
North Macedonia,Concentrated solar power,,,,,
North Macedonia,Marine energy,,,,,
North Macedonia,Nuclear,,,,,
North Macedonia,Offgrid solar photovoltaic,,,,,
North Macedonia,Offshore wind energy,,,,,
North Macedonia,Ongrid solar photovoltaic,,7.6,,26.29,103.67
North Macedonia,Onshore wind energy,,,11.12,,
North Macedonia,Pumped storage,,,,,
North Macedonia,Renewable hydropower,,,,1.68,0.22
North Macedonia,Solar thermal energy,,,,,
Norway,Concentrated solar power,,,,,
Norway,Marine energy,,,,,
Norway,Nuclear,,,,,
Norway,Offgrid solar photovoltaic,,,,,
Norway,Offshore wind energy,,,,,
Norway,Ongrid solar photovoltaic,,,,,
Norway,Onshore wind energy,,,,,
Norway,Pumped storage,,,,,
Norway,Renewable hydropower,44.94,193.73,,51.19,
Norway,Solar thermal energy,,,,,
Oman,Concentrated solar power,,,,,
Oman,Marine energy,,,,,
Oman,Nuclear,,,,,
Oman,Offgrid solar photovoltaic,,,,,
Oman,Offshore wind energy,,,,,
Oman,Ongrid solar photovoltaic,,,,,
Oman,Onshore wind energy,,,,,
Oman,Pumped storage,,,,,
Oman,Renewable hydropower,,,,,
Oman,Solar thermal energy,,,,,
Pakistan,Concentrated solar power,,,,,
Pakistan,Marine energy,,,,,
Pakistan,Nuclear,,,,,
Pakistan,Offgrid solar photovoltaic,,,66.34,,206.34
Pakistan,Offshore wind energy,,,,,
Pakistan,Ongrid solar photovoltaic,28.6,224.49,42.63,2.4,3.2
Pakistan,Onshore wind energy,148.37,9.51,36.07,7.51,
Pakistan,Pumped storage,,,,,
Pakistan,Renewable hydropower,56.9,629.42,1037.04,66.61,375.24
Pakistan,Solar thermal energy,,,,,0.02
Palau,Concentrated solar power,,,,,
Palau,Marine energy,,,,,
Palau,Nuclear,,,,,
Palau,Offgrid solar photovoltaic,,,,16.28,
Palau,Offshore wind energy,,,,,
Palau,Ongrid solar photovoltaic,,,,21.55,4.1
Palau,Onshore wind energy,,,,,
Palau,Pumped storage,,,,,
Palau,Renewable hydropower,,,,,
Palau,Solar thermal energy,,,,,
Panama,Concentrated solar power,,,,,
Panama,Marine energy,0.01,,0.01,,
Panama,Nuclear,,,,,
Panama,Offgrid solar photovoltaic,,,,,
Panama,Offshore wind energy,,,,,
Panama,Ongrid solar photovoltaic,,,,,0.24
Panama,Onshore wind energy,,,,,
Panama,Pumped storage,,,,,
Panama,Renewable hydropower,,,,,
Panama,Solar thermal energy,,,,,
Papua New Guinea,Concentrated solar power,,,,,
Papua New Guinea,Marine energy,,,,,
Papua New Guinea,Nuclear,,,,,
Papua New Guinea,Offgrid solar photovoltaic,,,0.01,0.01,0.2
Papua New Guinea,Offshore wind energy,,,,,
Papua New Guinea,Ongrid solar photovoltaic,0.06,0.03,,,0.19
Papua New Guinea,Onshore wind energy,,,,,
Papua New Guinea,Pumped storage,,,,,
Papua New Guinea,Renewable hydropower,0.05,0.03,0.02,3.9,0.01
Papua New Guinea,Solar thermal energy,,,,,
Paraguay,Concentrated solar power,,,,,
Paraguay,Marine energy,,,,,
Paraguay,Nuclear,,,,,
Paraguay,Offgrid solar photovoltaic,,,,,
Paraguay,Offshore wind energy,,,,,
Paraguay,Ongrid solar photovoltaic,,,,,
Paraguay,Onshore wind energy,,,,,
Paraguay,Pumped storage,,,,,
Paraguay,Renewable hydropower,0.48,,0.04,,
Paraguay,Solar thermal energy,,,,,
Peru,Concentrated solar power,,,,,
Peru,Marine energy,,,,,
Peru,Nuclear,,,,,
Peru,Offgrid solar photovoltaic,0,,20.37,0.03,
Peru,Offshore wind energy,,,,,
Peru,Ongrid solar photovoltaic,0.07,0.05,,1,
Peru,Onshore wind energy,,,82.44,400,
Peru,Pumped storage,,,,,
Peru,Renewable hydropower,0.99,0.51,0.49,1.23,0.01
Peru,Solar thermal energy,,,,,
Philippines (the),Concentrated solar power,,,,,
Philippines (the),Marine energy,,,,,
Philippines (the),Nuclear,0.01,,,,
Philippines (the),Offgrid solar photovoltaic,0.13,6.43,,0.62,0.82
Philippines (the),Offshore wind energy,,,,,
Philippines (the),Ongrid solar photovoltaic,0.65,0.3,0.68,,1.36
Philippines (the),Onshore wind energy,,,,0.65,
Philippines (the),Pumped storage,,,,,
Philippines (the),Renewable hydropower,,,10.64,,
Philippines (the),Solar thermal energy,,,,,0.03
Poland,Concentrated solar power,,,,,
Poland,Marine energy,,,,,
Poland,Nuclear,,,,,
Poland,Offgrid solar photovoltaic,,,,,
Poland,Offshore wind energy,,,,,259.05
Poland,Ongrid solar photovoltaic,,20.78,,47.56,23.31
Poland,Onshore wind energy,143.9,408.98,113.13,68.2,68.67
Poland,Pumped storage,,,,,
Poland,Renewable hydropower,,,,,
Poland,Solar thermal energy,,,,,
Portugal,Concentrated solar power,,,,,
Portugal,Marine energy,,,,,
Portugal,Nuclear,,,,,
Portugal,Offgrid solar photovoltaic,,,,,
Portugal,Offshore wind energy,,,,,
Portugal,Ongrid solar photovoltaic,,,44.01,73.71,
Portugal,Onshore wind energy,53.87,73.3,,102.67,
Portugal,Pumped storage,,,,,
Portugal,Renewable hydropower,171.93,54.97,,,
Portugal,Solar thermal energy,,,,,
Qatar,Concentrated solar power,,,,,
Qatar,Marine energy,,,,,
Qatar,Nuclear,,,,,
Qatar,Offgrid solar photovoltaic,,,,,
Qatar,Offshore wind energy,,,,,
Qatar,Ongrid solar photovoltaic,,134.1,,,
Qatar,Onshore wind energy,,,,,
Qatar,Pumped storage,,,,,
Qatar,Renewable hydropower,,,,,
Qatar,Solar thermal energy,,,,,
Republic of Moldova (the),Concentrated solar power,,,,,
Republic of Moldova (the),Marine energy,,,,,
Republic of Moldova (the),Nuclear,0.18,0.02,,0.05,
Republic of Moldova (the),Offgrid solar photovoltaic,,,,,0.55
Republic of Moldova (the),Offshore wind energy,,,,,
Republic of Moldova (the),Ongrid solar photovoltaic,0.06,0.03,0.27,0.73,0.78
Republic of Moldova (the),Onshore wind energy,0.06,,,,
Republic of Moldova (the),Pumped storage,,,,,
Republic of Moldova (the),Renewable hydropower,,,,,
Republic of Moldova (the),Solar thermal energy,0,,,,0.02
Residual/unallocated ODA: Eastern and Southeastern Asia,Concentrated solar power,,,,,
Residual/unallocated ODA: Eastern and Southeastern Asia,Marine energy,,,,,
Residual/unallocated ODA: Eastern and Southeastern Asia,Nuclear,,,,,
Residual/unallocated ODA: Eastern and Southeastern Asia,Offgrid solar photovoltaic,,,,0.23,12
Residual/unallocated ODA: Eastern and Southeastern Asia,Offshore wind energy,,,,,
Residual/unallocated ODA: Eastern and Southeastern Asia,Ongrid solar photovoltaic,21.29,0.05,159.34,4.54,2.03
Residual/unallocated ODA: Eastern and Southeastern Asia,Onshore wind energy,,,0.06,0.38,
Residual/unallocated ODA: Eastern and Southeastern Asia,Pumped storage,,,,,
Residual/unallocated ODA: Eastern and Southeastern Asia,Renewable hydropower,,29.64,0.08,0.49,0.06
Residual/unallocated ODA: Eastern and Southeastern Asia,Solar thermal energy,,,,,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Concentrated solar power,,,,,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Marine energy,,,,,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Nuclear,,4.38,,,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Offgrid solar photovoltaic,,,,0.23,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Offshore wind energy,,,,,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Ongrid solar photovoltaic,1.59,,0.19,3.21,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Onshore wind energy,0.16,,,0.02,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Pumped storage,,,,,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Renewable hydropower,0.95,,,0.13,
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Solar thermal energy,,,,,
Residual/unallocated ODA: SubSaharan Africa,Concentrated solar power,,,,,
Residual/unallocated ODA: SubSaharan Africa,Marine energy,,,,,
Residual/unallocated ODA: SubSaharan Africa,Nuclear,0.58,0.4,7.47,6.11,19.32
Residual/unallocated ODA: SubSaharan Africa,Offgrid solar photovoltaic,5.6,62.01,110.09,139.04,502.01
Residual/unallocated ODA: SubSaharan Africa,Offshore wind energy,,,,,
Residual/unallocated ODA: SubSaharan Africa,Ongrid solar photovoltaic,167.7,92.91,248.6,42.02,58.68
Residual/unallocated ODA: SubSaharan Africa,Onshore wind energy,57.31,,30.64,,8.15
Residual/unallocated ODA: SubSaharan Africa,Pumped storage,,,,,
Residual/unallocated ODA: SubSaharan Africa,Renewable hydropower,1.25,,228.4,74.36,58.86
Residual/unallocated ODA: SubSaharan Africa,Solar thermal energy,,,0.08,3.98,0.3
Residual/unallocated ODA: Western Asia and Northern Africa,Concentrated solar power,,,,,
Residual/unallocated ODA: Western Asia and Northern Africa,Marine energy,,,,,
Residual/unallocated ODA: Western Asia and Northern Africa,Nuclear,0.52,0.02,3.25,0.93,2.38
Residual/unallocated ODA: Western Asia and Northern Africa,Offgrid solar photovoltaic,,,,,
Residual/unallocated ODA: Western Asia and Northern Africa,Offshore wind energy,,,,,
Residual/unallocated ODA: Western Asia and Northern Africa,Ongrid solar photovoltaic,,,2.22,10.06,0.08
Residual/unallocated ODA: Western Asia and Northern Africa,Onshore wind energy,,,,,
Residual/unallocated ODA: Western Asia and Northern Africa,Pumped storage,,,,,
Residual/unallocated ODA: Western Asia and Northern Africa,Renewable hydropower,,,,,
Residual/unallocated ODA: Western Asia and Northern Africa,Solar thermal energy,,,,,
Romania,Concentrated solar power,,,,,
Romania,Marine energy,,,,,
Romania,Nuclear,,,,,
Romania,Offgrid solar photovoltaic,,,,,
Romania,Offshore wind energy,,,,,
Romania,Ongrid solar photovoltaic,,,,,
Romania,Onshore wind energy,,,,,
Romania,Pumped storage,,,,,
Romania,Renewable hydropower,,,,,
Romania,Solar thermal energy,,,,,
Russian Federation (the),Concentrated solar power,,,,,
Russian Federation (the),Marine energy,,,,,
Russian Federation (the),Nuclear,,,,,
Russian Federation (the),Offgrid solar photovoltaic,,,,,
Russian Federation (the),Offshore wind energy,,,,,
Russian Federation (the),Ongrid solar photovoltaic,,,,,
Russian Federation (the),Onshore wind energy,,,,,
Russian Federation (the),Pumped storage,,,,,
Russian Federation (the),Renewable hydropower,,,,,
Russian Federation (the),Solar thermal energy,,,,,
Rwanda,Concentrated solar power,,,,,
Rwanda,Marine energy,,,,,
Rwanda,Nuclear,,,,,
Rwanda,Offgrid solar photovoltaic,0.11,,82.75,0.35,281.78
Rwanda,Offshore wind energy,,,,,
Rwanda,Ongrid solar photovoltaic,,15.42,,,5.74
Rwanda,Onshore wind energy,,,,,
Rwanda,Pumped storage,,,,,
Rwanda,Renewable hydropower,,271.25,1.21,18.38,5.74
Rwanda,Solar thermal energy,,,,,
Réunion,Concentrated solar power,,,,,
Réunion,Marine energy,,,,,
Réunion,Nuclear,,,,,
Réunion,Offgrid solar photovoltaic,,,,,
Réunion,Offshore wind energy,,,,,
Réunion,Ongrid solar photovoltaic,,,,,
Réunion,Onshore wind energy,,,,,
Réunion,Pumped storage,,,,,
Réunion,Renewable hydropower,,,,,
Réunion,Solar thermal energy,,,,,
Saint Helena,Concentrated solar power,,,,,
Saint Helena,Marine energy,,,,,
Saint Helena,Nuclear,,,,,
Saint Helena,Offgrid solar photovoltaic,,,,,
Saint Helena,Offshore wind energy,,,,,
Saint Helena,Ongrid solar photovoltaic,,,,,
Saint Helena,Onshore wind energy,,,,,
Saint Helena,Pumped storage,,,,,
Saint Helena,Renewable hydropower,,,,,
Saint Helena,Solar thermal energy,,,,,
Saint Kitts and Nevis,Concentrated solar power,,,,,
Saint Kitts and Nevis,Marine energy,,,,,
Saint Kitts and Nevis,Nuclear,,,,,
Saint Kitts and Nevis,Offgrid solar photovoltaic,,,,,
Saint Kitts and Nevis,Offshore wind energy,,,,,
Saint Kitts and Nevis,Ongrid solar photovoltaic,,,,,
Saint Kitts and Nevis,Onshore wind energy,,,,,
Saint Kitts and Nevis,Pumped storage,,,,,
Saint Kitts and Nevis,Renewable hydropower,,,,,
Saint Kitts and Nevis,Solar thermal energy,,,,,
Saint Lucia,Concentrated solar power,,,,,
Saint Lucia,Marine energy,,,,,
Saint Lucia,Nuclear,,,,,
Saint Lucia,Offgrid solar photovoltaic,,,,0.67,
Saint Lucia,Offshore wind energy,,,,,
Saint Lucia,Ongrid solar photovoltaic,,,2.91,,
Saint Lucia,Onshore wind energy,,,,,
Saint Lucia,Pumped storage,,,,,
Saint Lucia,Renewable hydropower,,,,,
Saint Lucia,Solar thermal energy,,,,,
Saint Vincent and the Grenadines,Concentrated solar power,,,,,
Saint Vincent and the Grenadines,Marine energy,,,,,
Saint Vincent and the Grenadines,Nuclear,,,,,
Saint Vincent and the Grenadines,Offgrid solar photovoltaic,,,,,
Saint Vincent and the Grenadines,Offshore wind energy,,,,,
Saint Vincent and the Grenadines,Ongrid solar photovoltaic,,,,,
Saint Vincent and the Grenadines,Onshore wind energy,,,,,
Saint Vincent and the Grenadines,Pumped storage,,,,,
Saint Vincent and the Grenadines,Renewable hydropower,,,,,
Saint Vincent and the Grenadines,Solar thermal energy,,,,,
Samoa,Concentrated solar power,,,,,
Samoa,Marine energy,,,,,
Samoa,Nuclear,,,,,
Samoa,Offgrid solar photovoltaic,,,,,
Samoa,Offshore wind energy,,,,,
Samoa,Ongrid solar photovoltaic,,,,,1.17
Samoa,Onshore wind energy,,,,,
Samoa,Pumped storage,,,,,
Samoa,Renewable hydropower,,,,,
Samoa,Solar thermal energy,,,,,
Sao Tome and Principe,Concentrated solar power,,,,,
Sao Tome and Principe,Marine energy,,,,,
Sao Tome and Principe,Nuclear,,,,,
Sao Tome and Principe,Offgrid solar photovoltaic,,,1.07,,36.42
Sao Tome and Principe,Offshore wind energy,,,,,
Sao Tome and Principe,Ongrid solar photovoltaic,,,,,
Sao Tome and Principe,Onshore wind energy,,,,,
Sao Tome and Principe,Pumped storage,,,,,
Sao Tome and Principe,Renewable hydropower,,14.31,0.02,,
Sao Tome and Principe,Solar thermal energy,,,,,
Saudi Arabia,Concentrated solar power,,,,,
Saudi Arabia,Marine energy,,,,,
Saudi Arabia,Nuclear,,,,,
Saudi Arabia,Offgrid solar photovoltaic,,,,,
Saudi Arabia,Offshore wind energy,,,,,
Saudi Arabia,Ongrid solar photovoltaic,,,65.33,,
Saudi Arabia,Onshore wind energy,,,,,
Saudi Arabia,Pumped storage,,,,,
Saudi Arabia,Renewable hydropower,,,,,
Saudi Arabia,Solar thermal energy,,,,,
Senegal,Concentrated solar power,,,,,
Senegal,Marine energy,,,,,
Senegal,Nuclear,,,,,
Senegal,Offgrid solar photovoltaic,0.04,93.94,0.23,82.52,14.14
Senegal,Offshore wind energy,,,,,
Senegal,Ongrid solar photovoltaic,53.79,14.79,6.57,2.66,53.42
Senegal,Onshore wind energy,,0.02,0.63,,
Senegal,Pumped storage,,,,,
Senegal,Renewable hydropower,,,0.09,0,0.03
Senegal,Solar thermal energy,,,,,
Serbia,Concentrated solar power,,,,,
Serbia,Marine energy,,,,,
Serbia,Nuclear,,,,,
Serbia,Offgrid solar photovoltaic,,,,,23
Serbia,Offshore wind energy,,,,,
Serbia,Ongrid solar photovoltaic,,10.81,1.66,1.47,2.08
Serbia,Onshore wind energy,12.36,,2.47,28.01,
Serbia,Pumped storage,,,,,
Serbia,Renewable hydropower,,,,16.22,77.09
Serbia,Solar thermal energy,,,,,
Seychelles,Concentrated solar power,,,,,
Seychelles,Marine energy,,,,,
Seychelles,Nuclear,,,,,
Seychelles,Offgrid solar photovoltaic,,,,,
Seychelles,Offshore wind energy,,,,,
Seychelles,Ongrid solar photovoltaic,,,,,
Seychelles,Onshore wind energy,,,,,
Seychelles,Pumped storage,,,,,
Seychelles,Renewable hydropower,,,,,
Seychelles,Solar thermal energy,,,,,
Sierra Leone,Concentrated solar power,,,,,
Sierra Leone,Marine energy,,,,,
Sierra Leone,Nuclear,,,,,
Sierra Leone,Offgrid solar photovoltaic,,1.49,2.61,26.59,2.03
Sierra Leone,Offshore wind energy,,,,,
Sierra Leone,Ongrid solar photovoltaic,7.31,,10.99,0.63,5.27
Sierra Leone,Onshore wind energy,,,,,
Sierra Leone,Pumped storage,,,,,
Sierra Leone,Renewable hydropower,0.11,6.17,,,
Sierra Leone,Solar thermal energy,,,,0.02,0.02
Singapore,Concentrated solar power,,,,,
Singapore,Marine energy,,,,,
Singapore,Nuclear,,,,,
Singapore,Offgrid solar photovoltaic,,,,,
Singapore,Offshore wind energy,,,,,
Singapore,Ongrid solar photovoltaic,,,,,
Singapore,Onshore wind energy,,,,,
Singapore,Pumped storage,,,,,
Singapore,Renewable hydropower,,,,,
Singapore,Solar thermal energy,,,,,
Slovakia,Concentrated solar power,,,,,
Slovakia,Marine energy,,,,,
Slovakia,Nuclear,,,,,
Slovakia,Offgrid solar photovoltaic,,,,,
Slovakia,Offshore wind energy,,,,,
Slovakia,Ongrid solar photovoltaic,,,,,
Slovakia,Onshore wind energy,,,,,
Slovakia,Pumped storage,,,,,
Slovakia,Renewable hydropower,,,,,
Slovakia,Solar thermal energy,,,,,
Slovenia,Concentrated solar power,,,,,
Slovenia,Marine energy,,,,,
Slovenia,Nuclear,,,,,
Slovenia,Offgrid solar photovoltaic,,,,,
Slovenia,Offshore wind energy,,,,,
Slovenia,Ongrid solar photovoltaic,,,,,
Slovenia,Onshore wind energy,,,,,
Slovenia,Pumped storage,,,,,
Slovenia,Renewable hydropower,,,,,
Slovenia,Solar thermal energy,,,,,
Solomon Islands,Concentrated solar power,,,,,
Solomon Islands,Marine energy,,,,,
Solomon Islands,Nuclear,,,,,
Solomon Islands,Offgrid solar photovoltaic,,,,,2.4
Solomon Islands,Offshore wind energy,,,,,
Solomon Islands,Ongrid solar photovoltaic,,,,,
Solomon Islands,Onshore wind energy,,,,,
Solomon Islands,Pumped storage,,,,,
Solomon Islands,Renewable hydropower,48.78,0.6,,,0.24
Solomon Islands,Solar thermal energy,,,,,
Somalia,Concentrated solar power,,,,,
Somalia,Marine energy,,,,,
Somalia,Nuclear,,,,,
Somalia,Offgrid solar photovoltaic,2.22,0.17,145.49,14,98.65
Somalia,Offshore wind energy,,,,,
Somalia,Ongrid solar photovoltaic,0.36,,0.01,0,
Somalia,Onshore wind energy,0.07,,,,7.7
Somalia,Pumped storage,,,,,
Somalia,Renewable hydropower,,,,,
Somalia,Solar thermal energy,17.12,,,,
South Africa,Concentrated solar power,40.32,,,,
South Africa,Marine energy,,,,,
South Africa,Nuclear,0.1,,,,
South Africa,Offgrid solar photovoltaic,0.13,,0.05,439.5,299.86
South Africa,Offshore wind energy,,,,,
South Africa,Ongrid solar photovoltaic,0.17,0.09,0.01,42.82,129.81
South Africa,Onshore wind energy,,0.19,53.71,18.79,
South Africa,Pumped storage,,,,,
South Africa,Renewable hydropower,,,,,
South Africa,Solar thermal energy,,,,,
South Sudan,Concentrated solar power,,,,,
South Sudan,Marine energy,,,,,
South Sudan,Nuclear,,,,,
South Sudan,Offgrid solar photovoltaic,0.11,0.07,0.24,,25.94
South Sudan,Offshore wind energy,,,,,
South Sudan,Ongrid solar photovoltaic,,,,0.02,
South Sudan,Onshore wind energy,,,,,
South Sudan,Pumped storage,,,,,
South Sudan,Renewable hydropower,,,,,
South Sudan,Solar thermal energy,,,,,
Spain,Concentrated solar power,,,,,
Spain,Marine energy,,,,,
Spain,Nuclear,,,,,
Spain,Offgrid solar photovoltaic,395.43,,,0.75,
Spain,Offshore wind energy,,,,,
Spain,Ongrid solar photovoltaic,201.73,199.01,1053.78,1357.65,
Spain,Onshore wind energy,498.59,125.17,275.06,,
Spain,Pumped storage,,,,,
Spain,Renewable hydropower,,,,,
Spain,Solar thermal energy,,,,,
Sri Lanka,Concentrated solar power,,,,,
Sri Lanka,Marine energy,,,,,
Sri Lanka,Nuclear,0,,,,
Sri Lanka,Offgrid solar photovoltaic,,,,,
Sri Lanka,Offshore wind energy,,,,,
Sri Lanka,Ongrid solar photovoltaic,,,0.39,5.48,0.96
Sri Lanka,Onshore wind energy,,,,,
Sri Lanka,Pumped storage,,,,,
Sri Lanka,Renewable hydropower,,,,,
Sri Lanka,Solar thermal energy,,,,,
State of Palestine (the),Concentrated solar power,,,,,
State of Palestine (the),Marine energy,,,,,
State of Palestine (the),Nuclear,,,,,
State of Palestine (the),Offgrid solar photovoltaic,0.75,,4.85,1.31,0.33
State of Palestine (the),Offshore wind energy,,,,,
State of Palestine (the),Ongrid solar photovoltaic,16.1,11.59,0.82,19.19,0.58
State of Palestine (the),Onshore wind energy,,0.77,,,
State of Palestine (the),Pumped storage,,,,,
State of Palestine (the),Renewable hydropower,,,,,
State of Palestine (the),Solar thermal energy,0.31,,17.51,,
Sudan (the),Concentrated solar power,,,,,
Sudan (the),Marine energy,,,,,
Sudan (the),Nuclear,0,,,,
Sudan (the),Offgrid solar photovoltaic,1.52,,0,,
Sudan (the),Offshore wind energy,,,,,
Sudan (the),Ongrid solar photovoltaic,6.1,18.92,0.13,,
Sudan (the),Onshore wind energy,,,,,
Sudan (the),Pumped storage,,,,,
Sudan (the),Renewable hydropower,,,,,
Sudan (the),Solar thermal energy,,,,,0.2
Suriname,Concentrated solar power,,,,,
Suriname,Marine energy,,,,,
Suriname,Nuclear,,,,,
Suriname,Offgrid solar photovoltaic,,,,0.13,
Suriname,Offshore wind energy,,,,,
Suriname,Ongrid solar photovoltaic,,3.08,0.29,,
Suriname,Onshore wind energy,,,,,
Suriname,Pumped storage,,,,,
Suriname,Renewable hydropower,,,,,
Suriname,Solar thermal energy,,,,,
Sweden,Concentrated solar power,,,,,
Sweden,Marine energy,,,,,
Sweden,Nuclear,,,,,
Sweden,Offgrid solar photovoltaic,,,,,
Sweden,Offshore wind energy,,,,,
Sweden,Ongrid solar photovoltaic,,,,,
Sweden,Onshore wind energy,,,31.14,99.14,
Sweden,Pumped storage,,,,,
Sweden,Renewable hydropower,,,,,
Sweden,Solar thermal energy,,,,,
Switzerland,Concentrated solar power,,,,,
Switzerland,Marine energy,,,,,
Switzerland,Nuclear,,,,,
Switzerland,Offgrid solar photovoltaic,,,,,
Switzerland,Offshore wind energy,,,,,
Switzerland,Ongrid solar photovoltaic,,,,,
Switzerland,Onshore wind energy,,,,,
Switzerland,Pumped storage,,,,,
Switzerland,Renewable hydropower,,,,,
Switzerland,Solar thermal energy,,,,,
Syrian Arab Republic (the),Concentrated solar power,,,,,
Syrian Arab Republic (the),Marine energy,,,,,
Syrian Arab Republic (the),Nuclear,,,,,
Syrian Arab Republic (the),Offgrid solar photovoltaic,,,,0.59,0.05
Syrian Arab Republic (the),Offshore wind energy,,,,,
Syrian Arab Republic (the),Ongrid solar photovoltaic,,,,,
Syrian Arab Republic (the),Onshore wind energy,,,,,
Syrian Arab Republic (the),Pumped storage,,,,,
Syrian Arab Republic (the),Renewable hydropower,,,,,
Syrian Arab Republic (the),Solar thermal energy,,,,,
Tajikistan,Concentrated solar power,,,,,
Tajikistan,Marine energy,,,,,
Tajikistan,Nuclear,,,,,
Tajikistan,Offgrid solar photovoltaic,,5.55,0.1,,15.56
Tajikistan,Offshore wind energy,,,,,
Tajikistan,Ongrid solar photovoltaic,6.38,,,13.1,
Tajikistan,Onshore wind energy,6.38,,,,
Tajikistan,Pumped storage,,,,,
Tajikistan,Renewable hydropower,86.95,43.6,51.25,28.7,120.1
Tajikistan,Solar thermal energy,,,,,
Thailand,Concentrated solar power,,,,,
Thailand,Marine energy,,,,,
Thailand,Nuclear,,,,,
Thailand,Offgrid solar photovoltaic,,0.03,0.01,,0.03
Thailand,Offshore wind energy,,,,,
Thailand,Ongrid solar photovoltaic,0.05,24.18,22.1,31.37,0.09
Thailand,Onshore wind energy,104.05,31.71,,,
Thailand,Pumped storage,,,,,
Thailand,Renewable hydropower,,,,,0.99
Thailand,Solar thermal energy,,,,,
TimorLeste,Concentrated solar power,,,,,
TimorLeste,Marine energy,,,,,
TimorLeste,Nuclear,,,,,
TimorLeste,Offgrid solar photovoltaic,,,,,
TimorLeste,Offshore wind energy,,,,,
TimorLeste,Ongrid solar photovoltaic,,1.68,2.62,,
TimorLeste,Onshore wind energy,,,,,
TimorLeste,Pumped storage,,,,,
TimorLeste,Renewable hydropower,,,,,
TimorLeste,Solar thermal energy,,,,,
Togo,Concentrated solar power,,,,,
Togo,Marine energy,,,,,
Togo,Nuclear,,,,,
Togo,Offgrid solar photovoltaic,0.19,,22.34,1.81,17.98
Togo,Offshore wind energy,,,,,
Togo,Ongrid solar photovoltaic,,15.42,,0.06,2.7
Togo,Onshore wind energy,,,,,0
Togo,Pumped storage,,,,,
Togo,Renewable hydropower,,,,,
Togo,Solar thermal energy,,,,,0.01
Tokelau,Concentrated solar power,,,,,
Tokelau,Marine energy,,,,,
Tokelau,Nuclear,,,,,
Tokelau,Offgrid solar photovoltaic,,,,,
Tokelau,Offshore wind energy,,,,,
Tokelau,Ongrid solar photovoltaic,4.22,,,,
Tokelau,Onshore wind energy,,,,,
Tokelau,Pumped storage,,,,,
Tokelau,Renewable hydropower,,,,,
Tokelau,Solar thermal energy,,,,,
Tonga,Concentrated solar power,,,,,
Tonga,Marine energy,,,,,
Tonga,Nuclear,,,,,
Tonga,Offgrid solar photovoltaic,,,,,
Tonga,Offshore wind energy,,,,,
Tonga,Ongrid solar photovoltaic,,,,,
Tonga,Onshore wind energy,,,,,
Tonga,Pumped storage,,,,,
Tonga,Renewable hydropower,,,,,
Tonga,Solar thermal energy,,,,,
Trinidad and Tobago,Concentrated solar power,,,,,
Trinidad and Tobago,Marine energy,,,,,
Trinidad and Tobago,Nuclear,,,,,
Trinidad and Tobago,Offgrid solar photovoltaic,,,,,
Trinidad and Tobago,Offshore wind energy,,,,,
Trinidad and Tobago,Ongrid solar photovoltaic,,,,,
Trinidad and Tobago,Onshore wind energy,,,,,
Trinidad and Tobago,Pumped storage,,,,,
Trinidad and Tobago,Renewable hydropower,,,,,
Trinidad and Tobago,Solar thermal energy,,,,,
Tunisia,Concentrated solar power,,,,,
Tunisia,Marine energy,,,,,
Tunisia,Nuclear,0.07,0,,,
Tunisia,Offgrid solar photovoltaic,,,,,221.8
Tunisia,Offshore wind energy,,,,,
Tunisia,Ongrid solar photovoltaic,2.75,1.37,19.38,0.34,40.27
Tunisia,Onshore wind energy,,0.4,,,0.94
