"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Bermuda","Electricity - total solar production","2023","Kilowatt-hours, million","2.1","1"
"Bermuda","Electricity - total solar production","2022","Kilowatt-hours, million","2.1","1"
"Bermuda","Electricity - total solar production","2021","Kilowatt-hours, million","2","1"
"Bermuda","Electricity - total solar production","2020","Kilowatt-hours, million","2","1"
"Bermuda","Electricity - total solar production","2019","Kilowatt-hours, million","2","1"
"Bhutan","Electricity - total solar production","2023","Kilowatt-hours, million","0.61",""
"Bhutan","Electricity - total solar production","2022","Kilowatt-hours, million","0.39",""
"Bhutan","Electricity - total solar production","2021","Kilowatt-hours, million","0.39",""
"Bhutan","Electricity - total solar production","2020","Kilowatt-hours, million","0.39",""
"Bhutan","Electricity - total solar production","2019","Kilowatt-hours, million","0.385",""
"Bolivia (Plur. State of)","Electricity - total solar production","2022","Kilowatt-hours, million","351.09",""
"Bolivia (Plur. State of)","Electricity - total solar production","2021","Kilowatt-hours, million","350.57",""
"Bolivia (Plur. State of)","Electricity - total solar production","2020","Kilowatt-hours, million","332.4",""
"Bolivia (Plur. State of)","Electricity - total solar production","2019","Kilowatt-hours, million","188",""
"Bonaire, St Eustatius, Saba","Electricity - total solar production","2023","Kilowatt-hours, million","11.6","1"
"Bonaire, St Eustatius, Saba","Electricity - total solar production","2022","Kilowatt-hours, million","10","1"
"Bonaire, St Eustatius, Saba","Electricity - total solar production","2021","Kilowatt-hours, million","10","1"
"Bonaire, St Eustatius, Saba","Electricity - total solar production","2020","Kilowatt-hours, million","7.6","1"
"Bonaire, St Eustatius, Saba","Electricity - total solar production","2019","Kilowatt-hours, million","8.7","1"
"Bosnia and Herzegovina","Electricity - total solar production","2022","Kilowatt-hours, million","114",""
"Bosnia and Herzegovina","Electricity - total solar production","2021","Kilowatt-hours, million","72",""
"Bosnia and Herzegovina","Electricity - total solar production","2020","Kilowatt-hours, million","45",""
"Bosnia and Herzegovina","Electricity - total solar production","2019","Kilowatt-hours, million","30",""
"Botswana","Electricity - total solar production","2023","Kilowatt-hours, million","11",""
"Botswana","Electricity - total solar production","2022","Kilowatt-hours, million","7.5",""
"Botswana","Electricity - total solar production","2021","Kilowatt-hours, million","6.27",""
"Botswana","Electricity - total solar production","2020","Kilowatt-hours, million","6.27",""
"Botswana","Electricity - total solar production","2019","Kilowatt-hours, million","4.533",""
"Brazil","Electricity - total solar production","2023","Kilowatt-hours, million","50632.887",""
"Brazil","Electricity - total solar production","2022","Kilowatt-hours, million","30126.462",""
"Brazil","Electricity - total solar production","2021","Kilowatt-hours, million","16752.281",""
"Brazil","Electricity - total solar production","2020","Kilowatt-hours, million","10750",""
"Brazil","Electricity - total solar production","2019","Kilowatt-hours, million","6655",""
"British Virgin Islands","Electricity - total solar production","2023","Kilowatt-hours, million","1.9",""
"British Virgin Islands","Electricity - total solar production","2022","Kilowatt-hours, million","1.853",""
"British Virgin Islands","Electricity - total solar production","2021","Kilowatt-hours, million","1.853",""
"British Virgin Islands","Electricity - total solar production","2020","Kilowatt-hours, million","1.695",""
"British Virgin Islands","Electricity - total solar production","2019","Kilowatt-hours, million","1.523",""
"Brunei Darussalam","Electricity - total solar production","2022","Kilowatt-hours, million","5.087",""
"Brunei Darussalam","Electricity - total solar production","2021","Kilowatt-hours, million","4.43",""
"Brunei Darussalam","Electricity - total solar production","2020","Kilowatt-hours, million","1.545",""
"Brunei Darussalam","Electricity - total solar production","2019","Kilowatt-hours, million","1.545",""
"Bulgaria","Electricity - total solar production","2022","Kilowatt-hours, million","2093.838",""
"Bulgaria","Electricity - total solar production","2021","Kilowatt-hours, million","1466.598",""
"Bulgaria","Electricity - total solar production","2020","Kilowatt-hours, million","1468.72",""
"Bulgaria","Electricity - total solar production","2019","Kilowatt-hours, million","1417.286",""
"Burkina Faso","Electricity - total solar production","2023","Kilowatt-hours, million","65","1"
"Burkina Faso","Electricity - total solar production","2022","Kilowatt-hours, million","64",""
"Burkina Faso","Electricity - total solar production","2021","Kilowatt-hours, million","58.3",""
"Burkina Faso","Electricity - total solar production","2020","Kilowatt-hours, million","57.2",""
"Burkina Faso","Electricity - total solar production","2019","Kilowatt-hours, million","82.418",""
"Burundi","Electricity - total solar production","2023","Kilowatt-hours, million","12.465",""
"Burundi","Electricity - total solar production","2022","Kilowatt-hours, million","13",""
"Burundi","Electricity - total solar production","2021","Kilowatt-hours, million","8","1"
"Burundi","Electricity - total solar production","2020","Kilowatt-hours, million","7.93",""
"Burundi","Electricity - total solar production","2019","Kilowatt-hours, million","7.93",""
"Cabo Verde","Electricity - total solar production","2023","Kilowatt-hours, million","28.645",""
"Cabo Verde","Electricity - total solar production","2022","Kilowatt-hours, million","21.9","1"
"Cabo Verde","Electricity - total solar production","2021","Kilowatt-hours, million","15",""
"Cabo Verde","Electricity - total solar production","2020","Kilowatt-hours, million","14",""
"Cabo Verde","Electricity - total solar production","2019","Kilowatt-hours, million","16",""
"Cambodia","Electricity - total solar production","2022","Kilowatt-hours, million","726.064",""
"Cambodia","Electricity - total solar production","2021","Kilowatt-hours, million","634.792",""
"Cambodia","Electricity - total solar production","2020","Kilowatt-hours, million","303.898",""
"Cambodia","Electricity - total solar production","2019","Kilowatt-hours, million","98.321",""
"Cameroon","Electricity - total solar production","2022","Kilowatt-hours, million","45.656",""
"Cameroon","Electricity - total solar production","2021","Kilowatt-hours, million","45.633",""
"Cameroon","Electricity - total solar production","2020","Kilowatt-hours, million","45",""
"Cameroon","Electricity - total solar production","2019","Kilowatt-hours, million","19.5",""
"Canada","Electricity - total solar production","2022","Kilowatt-hours, million","5737",""
"Canada","Electricity - total solar production","2021","Kilowatt-hours, million","5113",""
"Canada","Electricity - total solar production","2020","Kilowatt-hours, million","4072",""
"Canada","Electricity - total solar production","2019","Kilowatt-hours, million","3752",""
"Central African Rep.","Electricity - total solar production","2023","Kilowatt-hours, million","0.5","1"
"Central African Rep.","Electricity - total solar production","2022","Kilowatt-hours, million","0.426",""
"Central African Rep.","Electricity - total solar production","2021","Kilowatt-hours, million","0.426",""
"Central African Rep.","Electricity - total solar production","2020","Kilowatt-hours, million","0.426",""
"Central African Rep.","Electricity - total solar production","2019","Kilowatt-hours, million","0.426",""
"Chad","Electricity - total solar production","2023","Kilowatt-hours, million","1.3","1"
"Chad","Electricity - total solar production","2022","Kilowatt-hours, million","1.3","1"
"Chad","Electricity - total solar production","2021","Kilowatt-hours, million","1.3",""
"Chad","Electricity - total solar production","2020","Kilowatt-hours, million","1.2",""
"Chad","Electricity - total solar production","2019","Kilowatt-hours, million","0.4",""
"Chile","Electricity - total solar production","2022","Kilowatt-hours, million","15713.686",""
"Chile","Electricity - total solar production","2021","Kilowatt-hours, million","10565.366",""
"Chile","Electricity - total solar production","2020","Kilowatt-hours, million","7971.25",""
"Chile","Electricity - total solar production","2019","Kilowatt-hours, million","6418.554",""
"China","Electricity - total solar production","2022","Kilowatt-hours, million","427270",""
"China","Electricity - total solar production","2021","Kilowatt-hours, million","325760",""
"China","Electricity - total solar production","2020","Kilowatt-hours, million","260857",""
"China","Electricity - total solar production","2019","Kilowatt-hours, million","224460",""
"China, Macao SAR","Electricity - total solar production","2023","Kilowatt-hours, million","0.2",""
"China, Macao SAR","Electricity - total solar production","2022","Kilowatt-hours, million","0.2",""
"China, Macao SAR","Electricity - total solar production","2021","Kilowatt-hours, million","0.1",""
"China, Macao SAR","Electricity - total solar production","2020","Kilowatt-hours, million","0.03",""
"China, Macao SAR","Electricity - total solar production","2019","Kilowatt-hours, million","0.02",""
"Colombia","Electricity - total solar production","2022","Kilowatt-hours, million","517.744",""
"Colombia","Electricity - total solar production","2021","Kilowatt-hours, million","332.747",""
"Colombia","Electricity - total solar production","2020","Kilowatt-hours, million","200.796",""
"Colombia","Electricity - total solar production","2019","Kilowatt-hours, million","136.984",""
"Comoros","Electricity - total solar production","2023","Kilowatt-hours, million","4.1","1"
"Comoros","Electricity - total solar production","2022","Kilowatt-hours, million","4","1"
"Comoros","Electricity - total solar production","2021","Kilowatt-hours, million","3.9","1"
"Congo","Electricity - total solar production","2022","Kilowatt-hours, million","10.002",""
"Congo","Electricity - total solar production","2021","Kilowatt-hours, million","8.83",""
"Congo","Electricity - total solar production","2020","Kilowatt-hours, million","8.158",""
"Congo","Electricity - total solar production","2019","Kilowatt-hours, million","0.969",""
"Cook Islands","Electricity - total solar production","2023","Kilowatt-hours, million","9.043",""
"Cook Islands","Electricity - total solar production","2022","Kilowatt-hours, million","7.18",""
"Cook Islands","Electricity - total solar production","2021","Kilowatt-hours, million","7.128",""
"Cook Islands","Electricity - total solar production","2020","Kilowatt-hours, million","8.144",""
"Cook Islands","Electricity - total solar production","2019","Kilowatt-hours, million","9.805",""
"Costa Rica","Electricity - total solar production","2022","Kilowatt-hours, million","81.185",""
"Costa Rica","Electricity - total solar production","2021","Kilowatt-hours, million","82.313",""
"Costa Rica","Electricity - total solar production","2020","Kilowatt-hours, million","70.474",""
"Costa Rica","Electricity - total solar production","2019","Kilowatt-hours, million","76.87",""
"Côte d'Ivoire","Electricity - total solar production","2022","Kilowatt-hours, million","12.599",""
"Côte d'Ivoire","Electricity - total solar production","2021","Kilowatt-hours, million","17.6",""
"Côte d'Ivoire","Electricity - total solar production","2020","Kilowatt-hours, million","11.1",""
"Côte d'Ivoire","Electricity - total solar production","2019","Kilowatt-hours, million","18.402",""
"Croatia","Electricity - total solar production","2022","Kilowatt-hours, million","151.9",""
"Croatia","Electricity - total solar production","2021","Kilowatt-hours, million","148.9",""
"Croatia","Electricity - total solar production","2020","Kilowatt-hours, million","95.5",""
"Croatia","Electricity - total solar production","2019","Kilowatt-hours, million","83.1",""
