country_code,country,continent,indicator,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
ALB,Albania,Europe,solar_pv_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,solar_pv_cap_mw_on_grid,14,21,23,100.14,206.73,306.73
ALB,Albania,Europe,solar_thermal_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,solar_thermal_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,solar_thermal_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,solar_thermal_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,total_renewable_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,total_renewable_gen_gwh_on_grid,5206.04,5313.17,8962.71,7002.64,9006.02,NA
ALB,Albania,Europe,total_renewable_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,total_renewable_cap_mw_on_grid,2177.43,2409.43,2531.43,2594.57,2727.02,2827.02
ALB,Albania,Europe,financing_concentrated_solar_power,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,financing_marine_energy,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,financing_nuclear,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,financing_offgrid_solar_pv,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,financing_offshore_wind,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,financing_ongrid_solar_pv,NA,NA,10.34,NA,61.71,NA
ALB,Albania,Europe,financing_onshore_wind,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,financing_pumped_storage,NA,NA,NA,NA,NA,NA
ALB,Albania,Europe,financing_renewable_hydropower,NA,NA,95.2,2.1,NA,NA
ALB,Albania,Europe,financing_solar_thermal_energy,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,renewable_elec_pct,1.03039521134362,1.06210599456762,0.913584728890971,NA,NA,NA
DZA,Algeria,Africa,renewable_prod_kwh,688040000,791710000,769110000,NA,NA,NA
DZA,Algeria,Africa,hydro_elec_pct,0.186443588548439,0.0619038595161392,0.0128820705000586,0.0175378983021122,NA,NA
DZA,Algeria,Africa,renewable_prod_pct,0.843951622795182,1.00020213505148,0.900702658390912,NA,NA,NA
DZA,Algeria,Africa,energy_invest_private_usd,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,energy_invest_ppp_usd,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,renewable_consump_pct,0.2,0.1,0.1,NA,NA,NA
DZA,Algeria,Africa,GHG_emissions_total,246.2564,232.984,245.7977,255.0681,NA,NA
DZA,Algeria,Africa,mixed_hydro_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,mixed_hydro_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,mixed_hydro_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,mixed_hydro_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,nuclear_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,nuclear_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,nuclear_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,nuclear_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,offshore_wind_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,offshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,offshore_wind_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,offshore_wind_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,onshore_wind_gen_gwh_off_grid,10,8,11,16,13.57,NA
DZA,Algeria,Africa,onshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,onshore_wind_cap_mw_off_grid,10,10,10,10,10,10
DZA,Algeria,Africa,onshore_wind_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,other_non_renewable_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,other_non_renewable_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,other_non_renewable_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,other_non_renewable_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,pumped_storage_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,pumped_storage_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,pumped_storage_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,pumped_storage_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,renewable_hydropower_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
