Country/area,Technology,Data Type,Grid connection,2019,2020,2021,2022,2023,2024
American Samoa,Offshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
American Samoa,Onshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
American Samoa,Onshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
American Samoa,Onshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
American Samoa,Onshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
American Samoa,Other non-renewable energy,Electricity Generation (GWh),Off-grid,,,,,,
American Samoa,Other non-renewable energy,Electricity Generation (GWh),On-grid,,,,,,
American Samoa,Other non-renewable energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
American Samoa,Other non-renewable energy,Electricity Installed Capacity (MW),On-grid,,,,,,
American Samoa,Pumped storage,Electricity Generation (GWh),Off-grid,,,,,,
American Samoa,Pumped storage,Electricity Generation (GWh),On-grid,,,,,,
American Samoa,Pumped storage,Electricity Installed Capacity (MW),Off-grid,,,,,,
American Samoa,Pumped storage,Electricity Installed Capacity (MW),On-grid,,,,,,
American Samoa,Renewable hydropower,Electricity Generation (GWh),Off-grid,,,,,,
American Samoa,Renewable hydropower,Electricity Generation (GWh),On-grid,,,,,,
American Samoa,Renewable hydropower,Electricity Installed Capacity (MW),Off-grid,,,,,,
American Samoa,Renewable hydropower,Electricity Installed Capacity (MW),On-grid,,,,,,
American Samoa,Solar photovoltaic,Electricity Generation (GWh),Off-grid,2.79,2.79,2.79,2.26,2.26,
American Samoa,Solar photovoltaic,Electricity Generation (GWh),On-grid,4.64,3.76,2.79,1.83,1.83,
American Samoa,Solar photovoltaic,Electricity Installed Capacity (MW),Off-grid,1.5,1.5,1.5,1.5,1.5,1.5
American Samoa,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,3.31,3.31,3.31,5.61,5.61,5.61
American Samoa,Solar thermal energy,Electricity Generation (GWh),Off-grid,,,,,,
American Samoa,Solar thermal energy,Electricity Generation (GWh),On-grid,,,,,,
American Samoa,Solar thermal energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
American Samoa,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,,,,,,
American Samoa,Total renewable,Electricity Generation (GWh),Off-grid,2.79,2.79,2.79,2.26,2.26,
American Samoa,Total renewable,Electricity Generation (GWh),On-grid,4.64,3.76,2.79,1.83,1.83,
American Samoa,Total renewable,Electricity Installed Capacity (MW),Off-grid,1.5,1.5,1.5,1.5,1.5,1.5
American Samoa,Total renewable,Electricity Installed Capacity (MW),On-grid,3.31,3.31,3.31,5.61,5.61,5.61
Andorra,Mixed Hydro Plants,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Mixed Hydro Plants,Electricity Generation (GWh),On-grid,,,,,,
Andorra,Mixed Hydro Plants,Electricity Installed Capacity (MW),Off-grid,,,,,,
