country_code,country,continent,year,renewable_elec_pct,renewable_prod_kwh,renewable_prod_pct,renewable_consump_pct,hydro_elec_pct,total_renewable_cap_mw,total_renewable_gen_gwh,GHG_emissions_total,energy_invest_private_ppp_USD,total_solar_cap_mw,total_solar_gen_gwh,total_wind_cap_mw,total_wind_gen_gwh,total_hydro_cap_mw,total_hydro_gen_gwh,total_financing_solar_USD,total_financing_wind_USD,total_financing_hydro_USD,total_financing_other_USD,total_financing_renewables_USD
MTQ,Martinique,North America,2019,NA,NA,NA,NA,NA,133.51,380.67,NA,NA,75.85,85.33,14,46.04,0.02,0.01,0,0,0,0,0
MTQ,Martinique,North America,2020,NA,NA,NA,NA,NA,135.4,353.84,NA,NA,76.63,84.36,15.1,41.7,0.02,0.02,0,0,0,0,0
MTQ,Martinique,North America,2021,NA,NA,NA,NA,NA,139.69,382.05,NA,NA,82.04,92.29,14,48.69,0,0,0,0,0,0,0
MTQ,Martinique,North America,2022,NA,NA,NA,NA,NA,139.98,396.52,NA,NA,82.33,92.51,14,40.24,0,0,0,0,0,0,0
MTQ,Martinique,North America,2023,NA,NA,NA,NA,NA,148.49,395.13,NA,NA,88.49,107.52,14,34.09,0,0,0,0,0,0,0
MTQ,Martinique,North America,2024,NA,NA,NA,NA,NA,152.27,NA,NA,NA,92.27,0,14,0,0,0,0,0,0,0,0
MUS,Mauritius,Africa,2019,21.9524103831891,612380000,18.9239802224969,8.9,3.02843016069221,262.85999999999996,712.04,5.6931213,NA,100.44,137.28,10.63,15.24,61.14,100.05,10.59,0,0,0,10.59
MUS,Mauritius,Africa,2020,24.1485079805691,579960000,20.1235253296322,9.4,4.02498265093685,271.24,697.1899999999999,5.2885213,NA,108.76,153.51,10.63,18.08,61.2,117.25,0,0,0,0,0
MUS,Mauritius,Africa,2021,21.682820855615,542750000,18.1400401069519,8.6,3.5427807486631,274.14,650.52,5.5797213,NA,111.66000000000001,158.16,10.63,15.38,61.2,108.27,0,0,0,0,0
MUS,Mauritius,Africa,2022,NA,NA,NA,NA,4.1038794485412,272.12,602.34,5.6954213,NA,109.64,157,10.63,15.48,61.2,129.71,0,0,0,0,0
MUS,Mauritius,Africa,2023,NA,NA,NA,NA,NA,288.09,578.3199999999999,NA,23170000,125.12,151.29,10.63,8.64,61.7,95.85,0,0,0,0,0
MUS,Mauritius,Africa,2024,NA,NA,NA,NA,NA,301.9,NA,NA,NA,138.92000000000002,0,10.63,0,61.7,0,0,0,0,0,0
MWI,Malawi,Africa,2019,79.2537614214722,174630000,7.4876834617512,70.9,71.766077959721,395.63,1727.5700000000002,16.7964,67000000,4.02,6.43,0,0,373.11,1674.8100000000002,109.71000000000001,3.18,7.31,0,120.2
MWI,Malawi,Africa,2020,79.2790825153742,177480000,7.60059612518629,71.5,71.6784863901879,397.59000000000003,1735.22,16.736,NA,5.99,9.57,0,0,373.11,1676.2,10.02,0,0.71,0,10.73
MWI,Malawi,Africa,2021,80.0551584735492,177480000,7.600563575708,71.1,72.4545948978412,477.43,1755.43,17.8651,NA,66.31,10.079999999999998,0,0,392.62,1694.33,13.200000000000001,0,1.53,0,14.73
MWI,Malawi,Africa,2022,NA,NA,NA,62.9,NA,519.4499999999999,1758.1000000000001,18.0375,27600000,108.34,13.3,0,0,392.62,1694.33,28.839999999999996,0,45.43,0,74.27
MWI,Malawi,Africa,2023,NA,NA,NA,NA,NA,520.4399999999999,1758.5900000000001,NA,NA,109.32000000000001,13.3,0,0,392.62,1694.33,0.54,0,13.14,0,13.68
MWI,Malawi,Africa,2024,NA,NA,NA,NA,NA,520.4399999999999,NA,NA,NA,109.32000000000001,0,0,0,392.62,0,0,0,0,0,0
MYS,Malaysia,Asia,2019,16.1811968399747,2693650000,1.51029138842632,5.7,14.6709054515483,7902.99,28859.7,83.17226,95030000,829.27,481.26,0,0,6190.910000000001,26281.34,0.01,0,0,0.01,0.02
MYS,Malaysia,Asia,2020,17.5710782624676,3302870000,1.89676222635702,7,15.6743160361105,8562.74,30624.92,79.95186,NA,1482.94,430.02,0,0,6189.160000000001,27302.34,3.87,0,0,0.09,3.96
MYS,Malaysia,Asia,2021,17.0004556137729,-504090000,-0.280085788739672,7.5,17.2805414025125,8705.29,35253.44,85.07196,1331500000,1582.9499999999998,459.53,0,0,6217.990000000001,30987.34,0,0,0,0,0
MYS,Malaysia,Asia,2022,NA,NA,NA,NA,16.6050892161155,9285.18,35253.5,101.07396,47660000,2130.69,459.59,0,0,6226.990000000001,30987.34,0,0,0,0,0
MYS,Malaysia,Asia,2023,NA,NA,NA,NA,NA,9358.14,35253.77,NA,130790000,2145.33,459.85999999999996,0,0,6267.64,30987.34,0,0,0.29,0,0.29
MYS,Malaysia,Asia,2024,NA,NA,NA,NA,NA,9518.14,NA,NA,NA,2305.33,0,0,0,6267.64,0,0,0,0,0,0
MYT,Mayotte,Africa,2019,NA,NA,NA,NA,NA,16.81,24.88,NA,NA,16.81,24.88,0,0,0,0,0,0,0,0,0
MYT,Mayotte,Africa,2020,NA,NA,NA,NA,NA,18.57,27.48,NA,NA,18.57,27.48,0,0,0,0,0,0,0,0,0
MYT,Mayotte,Africa,2021,NA,NA,NA,NA,NA,30.03,44.45,NA,NA,30.03,44.45,0,0,0,0,0,0,0,0,0
MYT,Mayotte,Africa,2022,NA,NA,NA,NA,NA,30.03,44.45,NA,NA,30.03,44.45,0,0,0,0,0,0,0,0,0
MYT,Mayotte,Africa,2023,NA,NA,NA,NA,NA,31.23,46.23,NA,NA,31.23,46.23,0,0,0,0,0,0,0,0,0
MYT,Mayotte,Africa,2024,NA,NA,NA,NA,NA,31.23,NA,NA,NA,31.23,0,0,0,0,0,0,0,0,0,0
NAM,Namibia,Africa,2019,NA,671900000,48.4776334776335,30.2,68.8311688311688,541.4499999999999,1581.12,-104.7122,NA,186.97000000000003,325.22999999999996,6.23,26.14,347,1229.5,0,0,0,0,0
NAM,Namibia,Africa,2020,83.4642147117296,174300000,8.66302186878728,31.2,74.8011928429423,545.9399999999999,1635.43,-105.6636,NA,187.46,372.14,6.23,26.14,351,1236.9,0,0,0,0,0
NAM,Namibia,Africa,2021,90.8861622358555,365300000,24.9011588275392,30,65.9850034083163,548.56,1294.28,-104.7754,NA,190.08,393,6.23,26.14,351,874.9,0,0,0,0,0
NAM,Namibia,Africa,2022,NA,NA,NA,NA,58.6776859504132,596.98,1542.54,-104.1411,NA,238.5,464.16,6.23,26.14,351,1052,0,0,0,0,0
NAM,Namibia,Africa,2023,NA,NA,NA,NA,NA,597.0400000000001,2227.02,NA,NA,238.56,505.64,6.23,26.14,351,1695,0,0,0,0,0
NAM,Namibia,Africa,2024,NA,NA,NA,NA,NA,597.0400000000001,NA,NA,NA,238.56,0,6.23,0,351,0,0,0,0,0,0
NCL,New Caledonia,Oceania,2019,13.7403595501573,173280000,5.1979685686088,5.2,8.54239098154853,219.65,458.04999999999995,NA,NA,103.55,116.11999999999999,37.59,56.58,78.14,284.77,0,0,0,0,0
NCL,New Caledonia,Oceania,2020,15.6038986547723,199460000,6.16967376141,6.1,9.43422489336233,243.61,504.46,NA,NA,124.52,150.49,37.59,48.57,81.14,305,0,0,0,0,0
NCL,New Caledonia,Oceania,2021,22.4774047218117,229150000,7.87484105983023,8.3,14.6025636619815,293.82,654.06,NA,NA,174.73,187.64999999999998,37.59,41.04,81.14,424.92,0,0,0,0,0
NCL,New Caledonia,Oceania,2022,NA,NA,NA,9.6,NA,349.22,808.29,NA,NA,209.73,226.19,57.99,43.11,81.14,538.61,0,0,0,0,0
NCL,New Caledonia,Oceania,2023,NA,NA,NA,NA,NA,354.21,787.2299999999999,NA,NA,214.72,285.29,57.99,80.22,81.14,421.01,0,0,0,0,0
NCL,New Caledonia,Oceania,2024,NA,NA,NA,NA,NA,355.28,NA,NA,NA,214.72,0,57.99,0,81.14,0,0,0,0,0,0
NER,Niger,Africa,2019,6.87910447761194,46090000,6.87910447761194,80.7,0,14.1,23.64,26.484798,NA,14.1,23.64,0,0,0,0,44.49,0,67.59,0,112.08000000000001
NER,Niger,Africa,2020,6.84843982169391,46090000,6.84843982169391,81.9,0,14.690000000000001,24.42,28.153798,NA,14.690000000000001,24.42,0,0,0,0,25.98,0,107.92,0,133.9
NER,Niger,Africa,2021,6.38365650969529,46090000,6.38365650969529,79.6,0,14.559999999999999,23.87,30.137898,NA,14.559999999999999,23.87,0,0,0,0,248.62,0,0,0,248.62
NER,Niger,Africa,2022,NA,NA,NA,NA,NA,49.95,78.49,31.916898,NA,49.95,78.49,0,0,0,0,2.8899999999999997,0,0,0,2.8899999999999997
NER,Niger,Africa,2023,NA,NA,NA,NA,NA,82.99,129.89,NA,NA,82.99,129.89,0,0,0,0,1.41,0.34,0,0,1.75
NER,Niger,Africa,2024,NA,NA,NA,NA,NA,82.99,NA,NA,NA,82.99,0,0,0,0,0,0,0,0,0,0
NGA,Nigeria,Africa,2019,23.3632046989076,79150000,0.217242136465938,80.1,23.1459625624417,2171.97,8536.8,723.5711,NA,52.129999999999995,76.99000000000001,0,0,2110.8,8433.179999999998,135.87,0,0,0,135.87
NGA,Nigeria,Africa,2020,21.0461899241147,298450000,0.786388069139966,81.8,20.2598018549747,2201.88,8028.32,696.6704,2600000000,78.28,115.62,0,0,2110.8,7871.92,29.810000000000002,0,222.33,0,252.14000000000001
NGA,Nigeria,Africa,2021,23.8040262626779,1375610000,3.51431929080551,80.3,20.2897069718724,2242.61,9378.519999999999,702.2277,40000000,110.77,163.6,0,0,2110.8,9153.81,30.6,0,0,0,30.6
